"parent_country","child_country","parent_date","child_date","branch_length","num_tips_child","dist","rate"
"Cameroon","Tanzania",1992.82596,1992.995823,0.16986,73,3308.428,19477.3813728953
"China","Chile",1996.37616,1997.99931,1.62315,1,19079.88,11754.8470566491
"Bangladesh","France",2014.61907,2016.53536,1.91629,1,7916.79,4131.31102286188
"Philippines","Japan",2004.50227,2005.99955,1.49728,1,2999.541,2003.326699081
"Philippines","Japan",2004.50227,2005.99955,1.49728,1,2999.541,2003.326699081
"Philippines","Japan",2004.13171,2005.99958,1.86787,1,2999.541,1605.86175697452
"India","Nigeria",2001.995998,2007.650798,5.6548,3,8087.981,1430.2859517578
"France","India",1993.99616,1998.99616,5,5,6594.23,1318.846
"India","France",2008.987778,2013.995998,5.00822,1,6594.23,1316.68137581815
"France","Mexico",1993.99616,2002.52219,8.52603,3,9206.813,1079.84759612622
"Nigeria","Iran",2007.650798,2013.157638,5.50684,1,5865.177,1065.07125683695
"Nepal","Italy",1989.99565,1996.99565,7,1,6640.497,948.642428571429
"France","Oman",1991.99576,1997.9985,6.00274,1,5620.005,936.23995042264
"India","Italy",2004.74676,2011.86689,7.12013,1,5922.222,831.757566224212
"Mali","France",2008.96723,2014.23446,5.26723,1,4139.756,785.945553924928
"Thailand","Philippines",2000.9968,2003.99954,3.00274,1,2210.015,735.999453832167
"India","Ethiopia",2000.917668,2007.998738,7.08107,1,4561.518,644.184847770182
"Thailand","Philippines",2000.9968,2004.9968,4,1,2210.015,552.50375
"China","Thailand",2004.99656,2011.9993,7.00274,1,3303.891,471.799752668241
"Nepal","Italy",1981.31468,1995.99838,14.6837,1,6640.497,452.235948705027
"Namibia","Tanzania",2003.995901,2010.995901,7,1,2953.518,421.931142857143
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"China","Thailand",2004.99656,2012.9993,8.00274,1,3303.891,412.844975595858
"France","Mexico",1993.99616,2016.74686,22.7507,1,9206.813,404.682625149995
"Tanzania","Cameroon",1992.995823,2001.515873,8.52005,24,3308.428,388.310866720266
"China","Thailand",2004.99656,2013.9993,9.00274,1,3303.891,366.987272763625
"China","Thailand",2004.99656,2013.9993,9.00274,1,3303.891,366.987272763625
"Tanzania","Ghana",1995.861342,2008.746542,12.8852,1,4604.602,357.355881165989
"India","Thailand",2008.987778,2017.913808,8.92603,1,2919.706,327.100177794607
"India","Iran",1998.99616,2007.54556,8.5494,2,2544.592,297.633986010714
"China","Thailand",2002.45577,2013.99657,11.5408,2,3303.891,286.279200748648
"France","India",1976.995968,2000.917668,23.9217,10,6594.23,275.658920561666
"Tanzania","Cameroon",1992.995823,2006.529923,13.5341,3,3308.428,244.451274927775
"France","India",1976.995968,2005.006968,28.011,2,6594.23,235.415729534826
"Mauritania","Nigeria",1981.5265,1992.9961,11.4696,1,2478.278,216.073620701681
"France","India",1985.996088,2017.097488,31.1014,1,6594.23,212.023574501469
"Tanzania","Cameroon",1992.995823,2008.810623,15.8148,2,3308.428,209.198219389433
"France","India",1985.996088,2017.883788,31.8877,1,6594.23,206.795410142469
"France","India",1976.995968,2008.998668,32.0027,1,6594.23,206.052301837033
"France","India",1976.995968,2009.664468,32.6685,1,6594.23,201.852855196902
"India","Oman",2008.45123,2008.99569,0.54446,1,1936.222,3556.22451603424
"India","Oman",2007.9246,2008.717352,0.79275,13,1936.222,2442.41185745822
